"id","basic_id","mixed_incl","present","present_quantity_unknown","tested","marker_type_id","site_id","site_id2","start_year","end_year","k13_id"
"143088","null","false","1","null","1","1","319","null","2012","2012","null"
"143089","null","false","0","null","1","177","319","null","2012","2012","null"
"143090","null","false","0","null","1","3","319","null","2012","2012","null"
"143091","null","false","0","null","1","179","319","null","2012","2012","null"
"143092","null","false","0","null","1","189","319","null","2012","2012","null"
"143093","null","false","0","null","1","188","319","null","2012","2012","null"
"143094","null","false","0","null","1","187","319","null","2012","2012","null"
"143095","null","false","0","null","1","185","319","null","2012","2012","null"
"143096","null","false","1","null","1","186","319","null","2012","2012","null"
"143097","null","false","0","null","1","193","319","null","2012","2012","null"
"143260","7854","false","12","false","39","109","256","null","2007","2007","null"
"143261","7855","false","18","false","39","111","256","null","2007","2007","null"
"143262","7856","false","5","false","37","116","256","null","2007","2007","null"
"143263","7857","false","7","false","37","117","256","null","2007","2007","null"
"143264","7858","false","7","false","37","124","256","null","2007","2007","null"
"143265","7859","false","18","false","37","125","256","null","2007","2007","null"
"143266","7860","false","9","false","39","134","256","null","2007","2007","null"
"143267","7861","false","12","false","37","141","256","null","2007","2007","null"
"143268","7862","false","25","false","37","161","256","null","2007","2007","null"
"143269","7863","false","38","false","38","65","256","null","2007","2007","null"
"143270","7864","false","0","false","38","89","256","null","2007","2007","null"
"143271","7865","false","0","false","38","62","256","null","2007","2007","null"
"143272","null","false","34","null","34","6","256","null","2007","2007","null"
"143273","null","false","0","null","34","175","256","null","2007","2007","null"
"143274","null","false","33","null","38","7","256","null","2007","2007","null"
"143275","null","false","1","null","38","176","256","null","2007","2007","null"
"143276","null","false","14","null","34","1","256","null","2007","2007","null"
"143277","null","false","20","null","34","1","256","null","2007","2007","null"
"143278","null","false","0","null","34","3","256","null","2007","2007","null"
"143279","null","false","33","null","33","10","256","null","2007","2007","null"
"143280","null","false","0","null","37","12","256","null","2007","2007","null"
"143281","7914","false","27","false","79","109","368","null","2012","2012","null"
"143282","7915","false","10","false","79","111","368","null","2012","2012","null"
"143283","7916","false","19","false","73","116","368","null","2012","2012","null"
"143284","7917","false","4","false","73","117","368","null","2012","2012","null"
"143285","7918","false","32","false","78","124","368","null","2012","2012","null"
"143286","7919","false","6","false","78","125","368","null","2012","2012","null"
"143287","7920","false","42","false","79","134","368","null","2012","2012","null"
"143288","7921","false","40","false","78","141","368","null","2012","2012","null"
"143289","7922","false","50","false","73","161","368","null","2012","2012","null"
"143290","7923","false","52","false","77","65","368","null","2012","2012","null"
"143291","7924","false","13","false","77","89","368","null","2012","2012","null"
"143292","7925","false","12","false","77","62","368","null","2012","2012","null"
"143293","null","false","79","null","79","6","368","null","2012","2012","null"
"143294","null","false","65","null","76","7","368","null","2012","2012","null"
"143295","null","false","5","null","76","176","368","null","2012","2012","null"
"143296","null","false","77","null","79","1","368","null","2012","2012","null"
"143297","null","false","2","null","79","177","368","null","2012","2012","null"
"143298","null","false","0","null","77","3","368","null","2012","2012","null"
"143299","null","false","75","null","79","10","368","null","2012","2012","null"
"143300","null","false","76","null","79","11","368","null","2012","2012","null"
"143301","null","false","3","null","79","181","368","null","2012","2012","null"
"143302","null","false","0","null","77","12","368","null","2012","2012","null"
"143303","null","false","1","null","77","182","368","null","2012","2012","null"
"143304","7890","false","55","false","111","109","310","null","2010","2010","null"
"143305","7891","false","34","false","111","111","310","null","2010","2010","null"
"143306","7892","false","25","false","111","116","310","null","2010","2010","null"
"143307","7893","false","45","false","111","117","310","null","2010","2010","null"
"143308","7894","false","41","false","109","124","310","null","2010","2010","null"
"143309","7895","false","21","false","109","125","310","null","2010","2010","null"
"143310","7896","false","22","false","111","134","310","null","2010","2010","null"
"143311","7897","false","48","false","109","141","310","null","2010","2010","null"
"143312","7898","false","41","false","111","161","310","null","2010","2010","null"
"143313","7899","false","104","false","108","65","310","null","2010","2010","null"
"143314","7900","false","0","false","108","89","310","null","2010","2010","null"
"143315","7901","false","4","false","108","62","310","null","2010","2010","null"
"143316","null","false","110","null","111","6","310","null","2010","2010","null"
"143317","null","false","1","null","111","175","310","null","2010","2010","null"
"143318","null","false","87","null","109","7","310","null","2010","2010","null"
"143319","null","false","12","null","109","176","310","null","2010","2010","null"
"143320","null","false","92","null","111","1","310","null","2010","2010","null"
"143321","null","false","18","null","111","177","310","null","2010","2010","null"
"143322","null","false","1","null","111","3","310","null","2010","2010","null"
"143323","null","false","12","null","111","179","310","null","2010","2010","null"
"143324","null","false","108","null","111","10","310","null","2010","2010","null"
"143325","null","false","2","null","111","180","310","null","2010","2010","null"
"143326","null","false","106","null","111","11","310","null","2010","2010","null"
"143327","null","false","4","null","111","181","310","null","2010","2010","null"
"143328","null","false","10","null","111","12","310","null","2010","2010","null"
"143329","null","false","4","null","111","182","310","null","2010","2010","null"
"143330","7878","false","22","false","92","109","568","null","2009","2009","null"
"143331","7879","false","58","false","92","111","568","null","2009","2009","null"
"143332","7880","false","9","false","90","116","568","null","2009","2009","null"
"143333","7881","false","6","false","90","117","568","null","2009","2009","null"
"143334","7882","false","27","false","89","124","568","null","2009","2009","null"
"143335","7883","false","39","false","89","125","568","null","2009","2009","null"
"143336","7884","false","16","false","92","134","568","null","2009","2009","null"
"143337","7885","false","23","false","89","141","568","null","2009","2009","null"
